Date,Trend Line
2010-01-04,-25.046245132072745
2010-01-05,-24.997979030671743
2010-01-06,-24.94971292927074
2010-01-07,-24.901446827869737
2010-01-08,-24.853180726468736
2010-01-11,-24.80491462506773
2010-01-12,-24.75664852366673
2010-01-13,-24.70838242226573
2010-01-14,-24.660116320864724
2010-01-15,-24.611850219463722
2010-01-19,-24.56358411806272
2010-01-20,-24.51531801666172
2010-01-21,-24.467051915260715
2010-01-22,-24.418785813859714
2010-01-25,-24.370519712458712
2010-01-26,-24.322253611057707
2010-01-27,-24.273987509656706
2010-01-28,-24.225721408255705
2010-01-29,-24.1774553068547
2010-02-01,-24.1291892054537
2010-02-02,-24.080923104052697
2010-02-03,-24.032657002651693
2010-02-04,-23.98439090125069
2010-02-05,-23.93612479984969
2010-02-08,-23.887858698448685
2010-02-09,-23.839592597047684
2010-02-10,-23.791326495646683
2010-02-11,-23.74306039424568
2010-02-12,-23.694794292844676
2010-02-16,-23.646528191443675
2010-02-17,-23.598262090042674
2010-02-18,-23.54999598864167
2010-02-19,-23.501729887240668
2010-02-22,-23.453463785839666
2010-02-23,-23.40519768443866
2010-02-24,-23.35693158303766
2010-02-25,-23.30866548163666
2010-02-26,-23.260399380235654
2010-03-01,-23.212133278834653
2010-03-02,-23.16386717743365
2010-03-03,-23.115601076032647
2010-03-04,-23.067334974631645
2010-03-05,-23.019068873230644
2010-03-08,-22.97080277182964
2010-03-09,-22.922536670428638
2010-03-10,-22.874270569027637
2010-03-11,-22.826004467626632
2010-03-12,-22.77773836622563
2010-03-15,-22.72947226482463
2010-03-16,-22.681206163423628
2010-03-17,-22.632940062022623
2010-03-18,-22.584673960621622
2010-03-19,-22.53640785922062
2010-03-22,-22.488141757819616
2010-03-23,-22.439875656418614
2010-03-24,-22.391609555017613
2010-03-25,-22.34334345361661
2010-03-26,-22.295077352215607
2010-03-29,-22.246811250814606
2010-03-30,-22.198545149413604
2010-03-31,-22.1502790480126
2010-04-01,-22.102012946611598
2010-04-05,-22.053746845210597
2010-04-06,-22.005480743809592
2010-04-07,-21.95721464240859
2010-04-08,-21.90894854100759
2010-04-09,-21.860682439606585
2010-04-12,-21.812416338205583
2010-04-13,-21.764150236804582
2010-04-14,-21.715884135403577
2010-04-15,-21.667618034002576
2010-04-16,-21.619351932601575
2010-04-19,-21.57108583120057
2010-04-20,-21.52281972979957
2010-04-21,-21.474553628398567
2010-04-22,-21.426287526997562
2010-04-23,-21.37802142559656
2010-04-26,-21.32975532419556
2010-04-27,-21.281489222794555
2010-04-28,-21.233223121393554
2010-04-29,-21.184957019992552
2010-04-30,-21.136690918591547
2010-05-03,-21.088424817190546
2010-05-04,-21.040158715789545
2010-05-05,-20.99189261438854
2010-05-06,-20.94362651298754
2010-05-07,-20.895360411586537
2010-05-10,-20.847094310185536
2010-05-11,-20.79882820878453
2010-05-12,-20.75056210738353
2010-05-13,-20.70229600598253
2010-05-14,-20.654029904581527
2010-05-17,-20.605763803180523
2010-05-18,-20.55749770177952
2010-05-19,-20.50923160037852
2010-05-20,-20.460965498977515
2010-05-21,-20.412699397576514
2010-05-24,-20.364433296175513
2010-05-25,-20.316167194774508
2010-05-26,-20.267901093373506
2010-05-27,-20.219634991972505
2010-05-28,-20.1713688905715
2010-06-01,-20.1231027891705
2010-06-02,-20.074836687769498
2010-06-03,-20.026570586368493
